blind_id,replicate_index,status,failure_cause,spin_map,spin_mean,ci68_lower,ci68_upper,ci95_lower,ci95_upper,chi2_per_dof,runtime_s,noise_seed
blind_cd385610e651,85,COMPLETED,,0.8129743534688896,0.7149759735858225,0.7198301011917252,0.7328631075176407,0.3857439850612702,0.8151687112319695,7.20462236633933,1.2755278000040562,2010467027
blind_cd385610e651,86,COMPLETED,,0.72385640254333,0.7281439731216026,0.7195838352642892,0.7287532045800275,0.7157962186164657,0.8126026892449296,8.173062458946719,1.2777982999978121,4220030007
blind_cd385610e651,87,COMPLETED,,0.8137363938485904,0.7538840265889886,0.7232424229078511,0.81411226890151,0.718943458840057,0.8172844871328437,10.056786306649103,1.2818607000008342,3252582912
blind_cd385610e651,88,COMPLETED,,0.8140003552384065,0.7398697685537836,0.7191275729656598,0.8121117650249555,0.7155135670049406,0.8150513543756872,9.042819521063768,1.2500652000016998,3919912194
blind_cd385610e651,89,COMPLETED,,0.8151320652635513,0.7531706008523618,0.7218867155539497,0.8151559114330968,0.7176228477056171,0.8176731320247854,10.877011703849375,1.2604704999976093,2398948070
blind_cd385610e651,90,COMPLETED,,0.7218691409227376,0.6283302125808978,0.5604500430449975,0.7233674876058866,0.5556812519816933,0.7286606056180508,10.37676492128734,1.2549906999993254,3651201757
blind_cd385610e651,91,COMPLETED,,0.8129511677407771,0.7533939600957735,0.7227725401590639,0.8127066674716833,0.7186947756994739,0.8152046250328354,7.825051684470446,1.2777567000011913,1118309242
blind_cd385610e651,92,COMPLETED,,0.8141946954944833,0.74824236397831,0.723404580155151,0.8130620493452201,0.7190739595583592,0.8158462394763668,8.077170942798965,1.2490042999997968,4222319930
blind_cd385610e651,93,COMPLETED,,0.720269206608922,0.6109028858797698,0.5587649648479894,0.7201226153929096,0.5536974418085812,0.7259474624473965,9.917253946072938,1.2653483999965829,2366627117
blind_cd385610e651,94,COMPLETED,,0.8134666711249486,0.7364503874510239,0.7232804218201447,0.8114643857716534,0.41149913201229377,0.815273001395165,7.321164089586029,1.2554877000002307,3466084454
blind_cd385610e651,95,COMPLETED,,0.8179763673078185,0.742698464448579,0.7222837144987925,0.8157349617729928,0.7183316704216937,0.8232140074908245,11.22070779761088,1.2803136000002269,4042127964
blind_cd385610e651,96,COMPLETED,,0.8153413997013604,0.7713492918062579,0.7251055004091097,0.8168008796084595,0.720709545003131,0.8196722198364897,8.023154795792037,1.258411499999056,4180697799
blind_cd385610e651,97,COMPLETED,,0.8181403279298257,0.7712830081831548,0.7220970322864744,0.8190950778782505,0.7174802905496266,0.8224558675123339,7.046955800480336,1.278522000000521,2956146731
blind_cd385610e651,98,COMPLETED,,0.8161732949341589,0.7693988131141427,0.7207350837025732,0.817505879744706,0.7159354396507067,0.8201176097060355,9.260263952561361,1.276701900002081,1783035853
blind_cd385610e651,99,COMPLETED,,0.8159984568555522,0.7481204022283839,0.7220245789523124,0.815172325182796,0.7180722846251051,0.8192043838599853,9.193935731956108,1.2564536999998381,631090813
blind_eabbf106a340,0,COMPLETED,,-0.51078379119778,-0.5218889236641027,-0.5431757915410057,-0.5027605463618239,-0.5897902213678814,-0.4927781604542314,0.8338479841009605,1.260496000002604,338963300
blind_eabbf106a340,1,COMPLETED,,-0.5116455331047809,-0.5114500967084153,-0.5179190704119279,-0.5047839524202528,-0.5304789481752982,-0.4975347349559115,1.9363447438090111,1.2628352000028826,4020729467
blind_eabbf106a340,2,COMPLETED,,-0.5092107491292633,-0.506815786453152,-0.5140343556024496,-0.4989102788319007,-0.5299090488119859,-0.4891200130880862,1.1298510179843098,1.2747630000012578,3952572419
