a_star,radius_rg,zero_torque_flux,stressed_flux_delta_eta_0p02
-0.5,52.2389828654963,4.1216953509083285e-08,4.502931845953337e-08
-0.5,52.652912905363806,4.039207777124222e-08,4.409866822278261e-08
-0.5,53.07012283447317,3.9582852749360814e-08,4.318661937604468e-08
-0.5,53.490638641934545,3.878900721178463e-08,4.229281779297506e-08
-0.5,53.914486522790206,3.8010273818874474e-08,4.141691558951898e-08
-0.5,54.34169287964585,3.724638909479738e-08,4.055857102826847e-08
-0.5,54.77228432431576,3.6497093398373186e-08,3.971744842383943e-08
-0.5,55.206287679480084,3.576213089306707e-08,3.889321804930134e-08
-0.5,55.6437299803561,3.504124951616902e-08,3.808555604364337e-08
-0.5,56.08463847638194,3.4334200947221916e-08,3.7294144320284316e-08
-0.5,56.529040632914295,3.364074057575841e-08,3.651867047663269e-08
-0.5,56.976964132939194,3.296062746838031e-08,3.5758827704679654e-08
-0.5,57.428436878796475,3.2293624335256266e-08,3.501431470265015e-08
-0.5,57.88348699391787,3.163949749606031e-08,3.428483558768654e-08
-0.5,58.342142824578914,3.0998016845416665e-08,3.357009980958292e-08
-0.5,58.80443294166475,3.036895581788073e-08,3.286982206555454e-08
