a_star,inclination_deg,alpha,beta,emission_radius,redshift,emission_mu
0.0,40.0,47.25,-33.25,63.24911822081854,1.0397086883250688,0.8065914198704154
0.0,40.0,50.75,-33.25,66.0421568711546,1.041236837161844,0.8050619906677469
0.0,40.0,54.25,-33.25,68.90490435210316,1.042458489840893,0.803573509684573
0.0,40.0,57.75,-33.25,71.82947972048076,1.0434223009848094,0.8021294764722776
0.0,40.0,61.25,-33.25,74.80903661715791,1.0441698310434204,0.8007309183827358
0.0,40.0,64.75,-33.25,77.837615160471,1.044736312462626,0.7993773268095659
0.0,40.0,-68.25,-29.75,78.38892960499112,0.9233948412288839,0.7066399632849794
0.0,40.0,-64.75,-29.75,75.23814553221624,0.9221234477336359,0.7070865176113252
0.0,40.0,-61.25,-29.75,72.12541427108255,0.9208524122997529,0.7076772813219308
0.0,40.0,-57.75,-29.75,69.05554710905231,0.9195958258389115,0.7084480872303577
0.0,40.0,-54.25,-29.75,66.03412125898733,0.9183725318972011,0.7094431024436995
0.0,40.0,-50.75,-29.75,63.067621598329815,0.9172075147291934,0.710716656566785
0.0,40.0,-47.25,-29.75,60.16361137367505,0.9161336533993816,0.7123353040340455
0.0,40.0,-43.75,-29.75,57.33093837592758,0.9151939068197393,0.7143799886493998
0.0,40.0,-40.25,-29.75,54.57998471054292,0.9144439770063365,0.7169480019824032
0.0,40.0,-36.75,-29.75,51.922970186511094,0.9139554467917431,0.7201541203061337
0.0,40.0,-33.25,-29.75,49.3743206863732,0.91381927357059,0.7241297981501718
0.0,40.0,-29.75,-29.75,46.95111174035032,0.9141492922588919,0.7290185376602042
0.0,40.0,-26.25,-29.75,44.673588045945,0.9150849584834181,0.734964561738876
0.0,40.0,-22.75,-29.75,42.565729997322855,0.9167918416471552,0.7420909820625918
